SampleID,Specimen,Category,Site,Sr,d18O,d13Cap,d15N,d13Ccol,C14_cal_AD,dates,LAT,LONG
PC-28,Plant,Flora,Tahíche ,0.706498,,,,,,,29.006944,-13.5475
PC-29,Plant,Flora,Tahíche ,0.708197,,,,,,,29.006944,-13.5475
PC-30,T. sil,Fau,Buevista ,0.709068,,,,,,,29.006944,-13.5475
PC-31,Plant,Flora,Guenia ,0.707458,,,,,,,29.075556,-13.4875
PC-22,Plant,Flora,Máguez ,0.705806,,,,,,,29.170278,-13.485556
PC-24,Rabbit,Fau,Máguez ,0.705899,,,,,,,29.17,-13.485556
PC-23,Rabbit,Fau,Máguez ,0.705838,,,,,,,29.170278,-13.485278
PC-25,Plant,Flora,Tabayesco ,0.706463,,,,,,,29.129167,-13.4825
PC-26,Plant,Flora,Tabayesco ,0.706575,,,,,,,29.129167,-13.4825
PC-27,T. sil,Fau,Tabayesco ,0.707677,,,,,,,29.129167,-13.4825
